User,Screen_Name,Date,Tweet,Retweet,Favorite
393697898,Build3dprinter,2015-07-22 20:33:47,"RT @HazelTechUSA: New preview video from the media team for #FruitBrite prototype - check it out!
https://t.co/l2BurVLZL6 …

#innovation #f…",3,0
3328061655,unlimitingworld,2015-07-22 20:33:44,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
1666927537,E_v_a_d_l,2015-07-22 20:29:28,"Shocking fakts https://t.co/WQT8vLHbnk
#foodwaste",0,1
257465174,MatteoFagotto,2015-07-22 20:28:49,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
351160454,LilianNyaega,2015-07-22 20:28:31,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
2494198213,theraingarden,2015-07-22 20:28:20,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
3045729091,EisaShamsi,2015-07-22 20:28:15,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
1298935814,amanmann15,2015-07-22 20:27:57,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
479809609,LesDamesATL,2015-07-22 20:27:01,RT @ElementalImpact: TY.@BethSEGreen 4 incl .@LesDamesATL zero #foodwaste journey @ event in ur daily http://t.co/yA10MCs6Ds .@idealand  ht…,1,0
71704235,thegreenpagesBC,2015-07-22 20:26:45,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
2291071877,foolberto,2015-07-22 20:25:55,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
376413912,mjlevi01,2015-07-22 20:24:37,RT @NFESH1: Reducing #FoodWaste in senior centers means serving more seniors in need. #WhatAWaste is the solution http://t.co/fLWBPwVoz6,1,0
2953265950,WeCompostIt,2015-07-22 20:23:55,This is big. Good on you @iamjohnoliver for putting together this piece! #foodwaste  https://t.co/hJjrVsgCY9,0,2
407250851,FoodRecycleDean,2015-07-22 20:23:52,"RT @foodcycle: New app from @LFHW_UK helps track, reduce &amp; avoid #foodwaste. Download it now to start saving! http://t.co/Bsz1hs9Oot http:/…",5,0
471516384,vievararosel,2015-07-22 20:23:14,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
