Word,Frequency
webinar,11
year,37
eu,22
canada,9
living,3
cafeteria,5
forgottnharvest,6
3rd,2
payf,8
looking,10
imperative,2
//t.co/5tbsbxphvt,3
//t.co/cexmvgviez,2
shows,9
//t.co/gmwllg4k9,3
state,3
cars,3
million,40
tipacorp,26
quite,4
wrap_uk,8
//t.co/slahvurltt,2
care,4
grist,2
language,5
calories,3
turn,18
lie,2
massive,3
think,10
oafb,2
saving,12
one,26
americans,56
//t.co/ydwmmzfiqx,2
carry,2
bristolcouncil,2
1.3bn,7
bite,10
uks,5
anyone,4
2,18
shoppers,4
bits,3
//t.co/bqxdtuyy2x,5
//t.co/tzr6zjeqzl,2
inefficient,3
usdanutrition,8
resourceconservation,2
idealand,2
released,2
ridiculous,6
flowers,5
bobs,2
oliver..,2
11,2
10,23
12,8
15,6
//t.co/gs9pjhoutz,4
16,3
19,4
18,2
stefanie_sacks,5
orgz,3
schoollunch,8
fernnews,7
fruits,55
proactive,2
published,4
fork,3
eye-opening,3
turned,2
sad,3
fucking,2
say,2
comedian,3
recover,4
umnione,2
foodtechconnect,12
//t.co/sfpdqvs78a,2
yaaaaa,2
ideas,2
dining,2
packagingtoday,2
potential,5
take,56
online,12
destroy,3
urge,12
sure,4
investigations,2
track,8
knew,3
insanity,2
donation,2
printed,4
america,52
],16
climateaction,2
hungry,132
//t.co/56bnd2lxn5,2
senior,3
cityharvest,2
gamechanger,2
surplus,11
show,13
recipe,11
superb,2
//t.co/wnvv9ebtgs,4
treasure,16
3,6
save_food_news,42
going,53
huffpostcomedy,3
awareness,5
get,26
freezing,5
truly,6
dyk,32
macleansmag,13
morning,6
//t.co/flwbpwvoz6,2
bokashi,2
nsfw,3
insightful,3
clarkewolfe,2
treehugger,6
//t.co/fttt67hvlt,5
clips,2
enlightening,3
farmers,25
ways,17
alarming,2
behind,8
endhunger,3
//t.co/nzejpunnvz,7
eu_greencapital,2
supermarket,68
jo,3
realjunkfood,2
foodwaste2020,22
//t.co/jxzxbeaude,2
article,5
cities,4
come,5
dates,10
horrifying,2
//t.co/svcxsftph9,5
many,6
//t.co/qas1e1pbdt,2
according,2
contract,3
blasts,3
clever,2
buymeby,3
comes,8
among,6
onemillion,3
key,5
cancer,6
//t.co/lm6xf9vxsv,2
//t.co/qyuyyh5ywo,4
homeless,5
//t.co/o85kng9t1w,2
learning,4
henrigrossman,3
//t.co/d7vmktsjxd,3
foodrescue,7
changeourfood,4
oliver,199
locally,3
sustainablesand,3
//t.co/4y9lengzxq,4
//t.co/n,2
lordseucom,25
renewables,7
wants,22
shopping,2
realtalk,2
//t.co/ka8d5tshgr,2
johnp_cybake,24
curbing,4
photos,5
foodinjars,2
globally,9
timeoutlondon,2
50m,2
developing,3
the4gnet,2
//t.co/2tmddd134j,2
voanews,2
foodshift,10
shops,2
//t.co/du1gpy2btp,2
realjunkfoods8,8
chat,3
goodfoodau,2
soil,5
strain,5
//t.co/xqzsrqpeqn,2
//t.co/bxwbvvhrqn,19
reachscale,3
participant,5
harsh,2
author,6
media,4
whyte,2
followers,6
eoealliance,2
lfhw_nz,2
bring,2
events,4
week,76
9x9,3
//t.co/vak8swnod0,2
must-watch,3
running,5
fruit,17
//t.co/7d,2
foodcycle,65
bancoalimentare,4
solve,16
alleviate,2
na,2
summer,3
bancoalimentopr,3
money,12
compassgroupusa,7
//t.co/uok0osly7o,2
//t.co/altorpdh6y,2
biotechenergyuk,3
//t.co/bsz1hs9oot,6
skunabay,2
thinking,7
senseless,2
blog,14
lets,9
bigger,2
baronessros,6
//t.co/evyqxxa2cj,3
olio_ex,7
aspects,2
around,29
read,7
fridge,3
//t.co/djaczrr9zn,2
mon,8
reducefoodwaste,4
world,12
topoli,2
emerson,2
arash,2
https:,8
kqednews,3
pounds,2
suppliers,2
pet,2
've,8
//t.co/acgzgfyaj4,2
farmdrop,2
//t.co/g84ouxfu51,3
served,2
//t.co/2y4rm3kpwk,7
reduced,4
n/week,2
hacks,2
facehunger,3
respect,4
images,2
pickles,5
//t.co/od3npvxu5k,10
socent,6
harvardflpc,4
//t.co/2nxitmpvpm,2
pasderestes,2
football,3
visualize,3
business,6
equivalent,2
flatulent,3
leftover,14
food-sharing,2
biologyjobs,3
shocking,8
brighton,7
ok,2
industry,10
capable,2
discussed,2
boldly,2
'd,2
greatly,2
act,2
foodsecurity,18
discusses,10
timothy,2
road,3
climatejustice2015,3
overripe,3
//t.co/ld8r36yeib,3
mental,5
//t.co/n9e0vezja3,2
area,5
hey,9
myths,3
start,18
jonathanbloom,16
lot,3
4:30,3
valley,2
energy,7
ago,6
pizzahut,2
idea,5
land,2
//t.co/72smbxnkto,2
buying,7
foodpolicy,2
prototype,3
whatawaste,7
emissions,3
zeer,2
pulp,6
nytfood,2
reduces,3
ag,2
//t.co/kng0ywfoqp,6
//t.co/xkpe6ntg8q,9
tasty,6
daily,11
//t.co/buh3iiki5t,3
film,6
fill,5
4.7,9
hazeltechusa,2
//t.co/irorqyexxu,2
valid,2
5,27
trash,29
foodsafety,6
gaining,3
ryanhobes,2
congress,12
ulupono,3
herbs,5
important,6
coverage,4
tackle,30
//t.co/z2crw9kgcr,2
berries,40
//t.co/vzpkxd4lik,15
landfill,7
mass,27
//t.co/ya10mcs6ds,3
//t.co/otsabuc3uj,2
starting,4
rnfrstalliance,4
consider,3
dollar,2
//t.co/l2burvlzl6,3
thoughtful,2
talks,27
follow,6
children,7
causes,5
//t.co/krofyfqknl,22
netimpact,6
//t.co/uketmdl6pe,2
chain,2
ty,5
tv,4
tu,2
//t.co/qe3h22dvro,2
sociological,2
champions,4
program,2
co-signed,3
'ugly,4
volunteer,8
song,2
grinds,4
fat,3
skewering,4
bestbefore,4
//t.co/aogpkvnivn,3
therulesorg,3
--,7
joined,8
endinghunger,3
small,3
lisa,4
leedswastedocs,2
homeracaribbean,2
wehatetowaste,3
zeropercent,2
walmartgiving,5
burger,3
zero,25
pass,2
90s,4
consumers,10
pinterest,2
ecudining,4
//t.co/slxxo9h,16
incpen,9
//t.co/4uempdsute,3
floats,2
method,4
handy,3
movement,14
combating,3
simon,8
excess,3
jul19,2
//t.co/kiwfd,2
vegetarian,6
losses,44
lasagne,2
amount,11
pick,3
myspoileralert,17
struggle,2
.iamjohnoliver,2
via,144
//t.co/jjp8kc1d9v,4
vid,2
partnering,4
//t.co/8un,3
kadriilham,2
manage,4
ozharvest,6
//t.co/wwtiflcc31,3
takes,14
//t.co/rcschwy0et,2
tlb,10
two,4
tomoconnornyc,2
6,27
foodfuelfuture,6
staggering,5
company,4
playworks,8
//t.co/amupymvcdi,2
broke,2
//t.co/y6vx36twjl,2
carlsjr,3
webmaster,2
glad,10
slowfoodusa,7
town,5
keeping,7
ediblebrooklyn,2
so'n,4
kcrwgoodfood,2
strategies,19
2ndharvestto,4
iamjohnoliver,337
share,9
states,2
numbers,3
//t.co/5biqggzt8t,2
mainstream,2
huge,14
needs,11
equoevento,2
technology,16
greenpeace,97
milk,7
surpassed,2
feedbelliesnotbins,9
foodsystem,4
explains,8
plant,2
continues,3
plans,2
localfood,2
advice,2
kitchenmarthas,3
//t.co/ans8ifzp6q,4
tries,2
ff,2
coming,7
fo,2
short,4
//t.co/ybisfoiyjq,2
svtpca,4
banks,6
danafrasz,4
corrugated,4
help,65
charities,2
committee,3
committed,18
//t.co/opjdiyxnjs,3
dont,17
25,2
20,9
21,3
fined,2
actually,4
livablefuture,3
//t.co/n6ejnsfh1o,37
match,2
might,4
loveuglyfood,7
gmos,2
good,60
food,714
largest,3
faoknowledge,24
veggie,2
icymi,12
communities,5
yr,24
fighthunger,2
//f52.co/1szv2aw,16
//t.co/kepofmioqz,2
rant,31
//t.co/nap3yninu7,2
always,5
foodvisors,2
habits,2
latinousa,4
sustainablog,2
everyone,16
delicious,14
//t.co/82qlzj1tbi,2
//t.co/oywzueo0kw,4
hard,2
reduce,192
//t.co/9fsqg7bg0q,5
engaging,2
oil,3
event,6
really,8
//t.co/1toqvc3xgx,2
//t.co/cgdrb9wnjt,3
frcertified,3
since,2
research,5
cmttee,17
//t.co/a8hvutx10v,8
originmagazine,5
health,19
7,3
issue,130
//t.co/tmqkhrticd,2
sbv,4
c2015,2
ron_taylor73,2
europesavesfood,27
greenliving,2
reason,4
ask,2
generate,11
scathing,4
thrown,10
thedolapo,5
benefits,3
andrewzimmern,6
americas,5
american,22
enough,8
lawsuits,2
feed,27
//t.co/0c8mbyzxk6,4
federcongressi,2
//t.co/lkoag2iera,2
done,2
//t.co/j4u7ldlinc,2
//t.co/uptnjhi6hh,4
mist,2
story,17
//t.co/u1mnstbklp,4
temperature,11
*don't*,3
//t.co/19fk0w0d7r,10
expand,2
storm,8
scary,2
store,5
//t.co/5e1xedfwnt,2
selling,4
imperfect,14
relationship,30
contains,2
interviewed,3
globalgreen,2
part,7
//t.co/vgbuhfojqf,2
king,3
grocery,10
farming,6
htt,22
risks,2
dried,2
motivation,7
eatsustainable,11
urgently,2
cechr_uod,15
juice,2
bkfst,4
u.s,94
//t.co/oxbxkbmeri,16
targets,5
also,11
foodforwardla,2
//t.co/m6392f8iir,2
ecochippings,4
play,2
eggs,5
measures,4
reach,4
chart,133
//t.co/ccc0edg0n4,2
75,3
fridges,3
statistics,2
verisstrat,2
refrigerator,5
cover,4
hints,2
berniesanders,2
usual,3
joining,2
sector,2
gold,6
minimizing,2
businesses,9
'last,2
routinely,4
find,6
costing,2
